1,1,2
2,2,3
3,3,4
4,4,5
5,5,12
6,12,13
7,13,14
8,14,15
9,15,16
10,16,9
11,9,8
12,8,1
13,2,7
14,7,10
15,10,15
16,3,6
17,6,11
18,11,14
19,12,11
20,11,10
21,10,9
22,5,6
23,6,7
24,7,8
25,4,17
26,17,18
27,18,19
28,19,20
29,20,21
30,21,22
31,22,5
32,20,23
33,23,24
34,24,25
35,25,12
36,23,26
37,26,27
38,27,28
39,28,13
40,22,25
41,25,28
42,24,27
43,21,24
44,18,21
45,17,22
46,19,29
47,29,36
48,36,37
49,37,38
50,38,39
51,39,40
52,40,33
53,33,32
54,32,26
55,29,30
56,30,31
57,31,32
58,36,35
59,35,34
60,34,33
61,39,34
62,34,31
63,31,23
64,30,20
65,35,30
66,38,35
67,37,44
68,44,45
69,45,1
70,8,46
71,46,43
72,43,38
73,9,47
74,47,42
75,42,39
76,16,48
77,48,41
78,41,40
79,44,43
80,43,42
81,42,41
82,47,48
83,46,47
84,45,46
85,28,62
86,62,64
87,64,48
88,63,41
89,61,63
90,27,61
91,32,61
92,61,62
93,62,14
94,64,15
95,63,64
96,33,63
97,34,56
98,56,55
99,55,10
100,31,57
101,57,58
102,58,11
103,25,58
104,58,55
105,55,47
106,56,42
107,57,56
108,24,57
109,22,59
110,59,53
111,53,46
112,54,43
113,60,54
114,21,60
115,35,54
116,54,53
117,53,7
118,59,6
119,60,59
120,30,60
121,17,51
122,51,49
123,49,45
124,50,44
125,52,50
126,18,52
127,36,50
128,50,49
129,49,2
130,29,52
131,52,51
132,51,3
133,50,54
134,54,56
135,56,63
136,57,61
137,60,57
138,52,60
139,49,53
140,53,55
141,55,64
142,58,62
143,59,58
144,51,59
